id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
18,50.783463,0.003871,0.516219,0.000000,0.003871,0.342267,primary
24,56.493356,0.002954,0.746637,0.000000,0.002954,0.459237,primary
25,57.564393,0.003582,0.633434,0.000000,0.003582,0.406729,primary
27,60.054148,0.002995,0.922652,0.000000,0.002995,0.569302,primary
28,60.092389,0.003886,0.848360,0.000000,0.003886,0.548187,primary
30,63.788236,0.002918,0.783453,0.000000,0.002918,0.481005,primary
9,66.075679,0.002645,0.711587,0.000000,0.002645,0.428939,primary
10,66.248902,0.002723,0.790256,0.000000,0.002723,0.479778,primary
39,67.892665,0.036343,0.755159,0.006718,0.029625,1.396365,primary
13,69.064898,0.002725,0.823901,0.000000,0.002725,0.500648,primary
40,69.593447,0.002909,0.816550,0.000000,0.002909,0.501245,primary
47,73.860184,0.002280,0.727611,0.000000,0.002280,0.428671,primary
48,75.298384,0.002380,0.718023,0.000000,0.002380,0.425506,primary
55,80.423554,0.002292,0.682973,0.000000,0.002292,0.401378,primary
56,81.296094,0.002085,0.823494,0.000000,0.002085,0.482552,primary
57,83.461741,0.002022,0.686295,0.000000,0.002022,0.395898,primary
61,87.999505,0.001929,0.795265,0.000000,0.001929,0.460718,primary
62,88.925080,0.002035,0.746129,0.000000,0.002035,0.433283,primary
68,90.827163,0.001868,0.703358,0.000000,0.001868,0.402154,primary
69,92.404692,0.001942,0.724676,0.000000,0.001942,0.417401,primary
70,93.379322,0.001864,0.849284,0.000000,0.001864,0.492342,primary
76,95.188744,0.001789,0.679354,0.000000,0.001789,0.385082,primary
78,97.376135,0.001810,0.722519,0.000000,0.001810,0.412381,primary
79,98.905184,0.001826,0.725556,0.000000,0.001826,0.414725,primary
81,102.756664,0.001722,0.768602,0.000000,0.001722,0.438457,primary
82,104.280357,0.001830,0.679995,0.000000,0.001830,0.386629,primary
86,105.141690,0.001674,0.739071,0.000000,0.001674,0.418827,primary
93,111.751489,0.001630,0.789624,0.000000,0.001630,0.448886,primary
99,114.697449,0.001500,0.743945,0.000000,0.001500,0.417009,primary
101,118.145849,0.001488,0.800777,0.000000,0.001488,0.451815,primary
103,120.259727,0.001533,0.716642,0.000000,0.001533,0.401021,primary
107,124.041233,0.001403,0.764867,0.000000,0.001403,0.427224,primary
108,125.111201,0.001513,0.722472,0.000000,0.001513,0.404081,primary
112,128.519978,0.001392,0.756018,0.000000,0.001392,0.421453,primary
118,135.241649,0.001272,0.648809,0.000000,0.001272,0.351768,primary
121,138.152850,0.001187,0.687564,0.000000,0.001187,0.373386,primary
123,140.612562,0.001259,0.687503,0.000000,0.001259,0.375344,primary
124,141.557266,0.001214,0.804300,0.000000,0.001214,0.446359,primary
129,145.385865,0.001318,0.800938,0.000000,0.001318,0.447192,primary
131,147.924381,0.001249,0.710301,0.000000,0.001249,0.389187,primary
135,150.779871,0.001314,0.743251,0.000000,0.001314,0.411372,primary
138,155.635268,0.001152,0.774985,0.000000,0.001152,0.426477,primary
142,159.403123,0.001131,0.686751,0.000000,0.001131,0.371299,primary
143,160.708221,0.001103,0.747843,0.000000,0.001103,0.408335,primary
144,161.905349,0.001162,0.768303,0.000000,0.001162,0.422646,primary
145,162.724361,0.001133,0.700927,0.000000,0.001133,0.380142,primary
147,165.070812,0.001150,0.764565,0.000000,0.001150,0.419983,primary
149,167.951578,0.001109,0.731709,0.000000,0.001109,0.398503,primary
150,168.618492,0.001106,0.729266,0.000000,0.001106,0.396913,primary
152,171.213613,0.001031,0.769820,0.000000,0.001031,0.419908,primary
153,172.535962,0.001016,0.718668,0.000000,0.001016,0.387851,primary
154,173.824884,0.001005,0.702704,0.000000,0.001005,0.377667,primary
155,174.990887,0.001088,0.728976,0.000000,0.001088,0.396224,primary
156,175.140701,0.001060,0.761851,0.000000,0.001060,0.415799,primary
157,176.139281,0.001173,0.686487,0.000000,0.001173,0.372327,primary
159,178.745312,0.001119,0.766208,0.000000,0.001119,0.420130,primary
161,180.845572,0.000988,0.725534,0.000000,0.000988,0.391325,primary
