id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,source_target_hz,harvest_filter_policy,harvest_class,Q_mmr_base,selection_type
12,81.034804,1.000000,0.925265,0.392569,0.607431,106.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.775812,top_plate
11,85.548465,1.000000,0.881968,0.483444,0.516556,106.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,1.000000,top_plate
13,110.732448,1.000000,0.907470,0.114034,0.885966,154.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.088672,top_plate
10,122.337816,1.000000,0.730400,0.223252,0.776748,106.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.358110,top_plate
9,139.344296,1.000000,0.903847,0.432780,0.567220,106.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.875012,top_plate
7,143.729244,1.000000,0.931996,0.210796,0.789204,106.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.327383,top_plate
0,158.632365,1.000000,1.000000,0.420308,0.579692,202.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.844245,top_plate
1,159.990090,1.000000,0.999906,0.319765,0.680235,202.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.596207,top_plate
2,176.581253,1.000000,0.869415,0.370144,0.629856,202.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.720491,top_plate
3,177.707336,1.000000,0.957873,0.420428,0.579572,202.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.844541,top_plate
4,188.997449,1.000000,0.929586,0.278939,0.721061,202.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.495489,top_plate
6,219.890667,1.000000,0.929021,0.238886,0.761114,202.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.396679,top_plate
14,244.000011,1.000000,0.999996,0.180672,0.819328,250.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.253066,top_plate
16,254.136688,1.000000,0.982308,0.239709,0.760291,250.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.398711,top_plate
17,260.829075,1.000000,0.875854,0.247143,0.752857,250.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.417050,top_plate
18,270.412068,1.000000,0.798598,0.410094,0.589906,250.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.819047,top_plate
19,276.174430,1.000000,0.916047,0.204098,0.795902,250.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.310859,top_plate
21,290.568473,1.000000,0.852894,0.078091,0.921909,250.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.000000,top_plate
24,323.104556,1.000000,0.916746,0.287059,0.712941,346.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.515522,top_plate
23,328.011968,1.000000,0.836322,0.338306,0.661694,346.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.641948,top_plate
22,328.561386,1.000000,0.875996,0.430611,0.569389,346.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.869662,top_plate
31,341.490544,1.000000,0.873086,0.161669,0.838331,298.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.206186,top_plate
26,359.309261,1.000000,0.879129,0.118844,0.881156,346.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.100538,top_plate
28,365.124836,1.000000,0.865803,0.230568,0.769432,346.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.376160,top_plate
29,384.671146,1.000000,0.781620,0.257703,0.742297,346.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.443101,top_plate
33,392.480492,1.000000,0.871817,0.209746,0.790254,394.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.324792,top_plate
46,404.951294,1.000000,0.437660,0.160497,0.839503,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.203296,top_plate
35,416.585262,1.000000,0.787537,0.324206,0.675794,394.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.607162,top_plate
36,417.095514,1.000000,0.785964,0.261729,0.738271,394.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.453034,top_plate
37,418.408499,1.000000,0.916628,0.365715,0.634285,394.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.709565,top_plate
42,424.899557,1.000000,0.499048,0.339858,0.660142,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.645775,top_plate
38,425.743192,1.000000,0.780033,0.294287,0.705713,394.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.533354,top_plate
40,442.069203,1.000000,0.381330,0.219625,0.780375,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.349162,top_plate
43,448.006534,1.000000,0.330358,0.235772,0.764228,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.388997,top_plate
44,463.310329,1.000000,0.366082,0.334364,0.665636,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.632222,top_plate
45,465.463283,1.000000,0.530750,0.417259,0.582741,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.836724,top_plate
47,473.892751,1.000000,0.704060,0.335151,0.664849,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.634163,top_plate
48,479.249862,1.000000,0.810854,0.288831,0.711169,442.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.519893,top_plate
39,484.000027,1.000000,0.128648,0.183607,0.816393,490.000000,staged_v2_unified_p02_wood_bypass,physical_fsi,0.260307,top_plate
