id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base
24,80.426852,0.001941,0.854593,0.000000,0.001941,1.358127
25,80.848650,0.001847,0.835548,0.000000,0.001847,1.184251
0,80.990661,0.001934,0.694425,0.000000,0.001934,1.244427
26,81.856076,0.001717,0.473821,0.000000,0.001717,0.731045
1,81.972850,0.001857,0.179909,0.000000,0.001857,0.782175
2,82.049391,0.002012,0.583506,0.000000,0.002012,1.306798
27,82.814976,0.002007,0.515162,0.000000,0.002007,1.255440
30,83.726059,0.001802,0.339893,0.000000,0.001802,0.790488
4,84.018590,0.001918,0.248769,0.000000,0.001918,0.931720
28,84.045865,0.001718,0.105803,0.000000,0.001718,0.495857
5,84.542821,0.001865,0.885532,0.000000,0.001865,1.248646
6,85.102122,0.001995,0.800021,0.000000,0.001995,1.416183
31,85.613780,0.001779,0.103900,0.000000,0.001779,0.600551
7,85.825723,0.001772,0.812245,0.000000,0.001772,1.040532
8,86.323934,0.001928,0.840634,0.000000,0.001928,1.326697
32,87.288302,0.001815,0.758626,0.000000,0.001815,1.080232
9,87.343906,0.001824,0.868179,0.000000,0.001824,1.166382
10,87.662354,0.001722,0.639321,0.000000,0.001722,0.844415
33,88.040911,0.001582,0.829890,0.000000,0.001582,0.726600
11,88.312328,0.001572,0.732272,0.000000,0.001572,0.646375
34,88.843323,0.001692,0.327819,0.000000,0.001692,0.593964
12,88.882849,0.001838,0.759798,0.000000,0.001838,1.121237
14,89.817940,0.001755,0.133007,0.000000,0.001755,0.578013
15,90.615590,0.001646,0.225809,0.000000,0.001646,0.450602
36,91.744236,0.001761,0.495439,0.000000,0.001761,0.819040
37,92.457483,0.001837,0.456294,0.000000,0.001837,0.924305
38,94.427409,0.001696,0.786854,0.000000,0.001696,0.893865
39,95.857076,0.001500,0.761192,0.000000,0.001500,0.541595
40,97.265111,0.001539,0.689811,0.000000,0.001539,0.562679
41,98.263064,0.001525,0.728068,0.000000,0.001525,0.563150
