id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
24,400.066874,0.000668,0.829791,0.000000,0.000668,0.810853,coverage_anchor
0,405.127245,0.000763,1.000000,0.000000,0.000763,1.000000,coverage_anchor
1,405.457861,0.000693,0.927981,0.000000,0.000693,0.919968,coverage_anchor
2,405.466028,0.000759,0.914376,0.000000,0.000759,0.904849,coverage_anchor
3,405.619734,0.000675,0.904940,0.000000,0.000675,0.894363,coverage_anchor
4,405.624295,0.000742,0.864870,0.000000,0.000742,0.849835,coverage_anchor
6,405.785052,0.000795,0.867020,0.000000,0.000795,0.852224,coverage_anchor
7,406.108724,0.000689,0.958828,0.000000,0.000689,0.954247,coverage_anchor
8,406.118277,0.000743,0.896032,0.000000,0.000743,0.884464,coverage_anchor
10,406.412988,0.000736,0.859580,0.000000,0.000736,0.843957,coverage_anchor
11,406.589738,0.000706,0.905511,0.000000,0.000706,0.894998,coverage_anchor
12,406.595832,0.000716,0.864446,0.000000,0.000716,0.849364,coverage_anchor
34,407.861006,0.000663,0.860662,0.000000,0.000663,0.845158,coverage_anchor
36,408.076283,0.000655,0.867207,0.000000,0.000655,0.852432,coverage_anchor
38,408.311567,0.000699,0.876442,0.000000,0.000699,0.862695,coverage_anchor
43,408.845150,0.000689,0.888811,0.000000,0.000689,0.876440,coverage_anchor
44,408.850503,0.000781,0.858798,0.000000,0.000781,0.843087,coverage_anchor
50,415.703572,0.000666,0.863384,0.000000,0.000666,0.848183,coverage_anchor
59,416.543490,0.000795,0.855228,0.000000,0.000795,0.839120,coverage_anchor
62,421.287542,0.000737,0.838829,0.000000,0.000737,0.820896,coverage_anchor
74,423.023700,0.000859,0.838526,0.000000,0.000859,0.820560,coverage_anchor
75,427.269401,0.000711,0.788698,0.000000,0.000711,0.765188,coverage_anchor
88,428.940369,0.000746,0.835081,0.000000,0.000746,0.816732,coverage_anchor
96,433.549624,0.000699,0.854642,0.000000,0.000699,0.838469,coverage_anchor
99,434.131439,0.000715,0.872442,0.000000,0.000715,0.858249,coverage_anchor
101,434.483512,0.000752,0.859515,0.000000,0.000752,0.843884,coverage_anchor
114,440.211955,0.000755,0.861509,0.000000,0.000755,0.846099,coverage_anchor
124,445.347230,0.000874,0.835228,0.000000,0.000874,0.816895,coverage_anchor
134,447.119804,0.000817,0.810180,0.000000,0.000817,0.789059,coverage_anchor
136,450.942121,0.000799,0.789778,0.000000,0.000799,0.766388,coverage_anchor
147,452.563921,0.000873,0.694387,0.000000,0.000873,0.660383,coverage_anchor
158,456.520664,0.000659,0.738029,0.000000,0.000659,0.708881,coverage_anchor
163,460.371974,0.000586,0.900739,0.000000,0.000586,0.889694,coverage_anchor
174,463.224284,0.000598,0.760889,0.000000,0.000598,0.734284,coverage_anchor
182,469.028958,0.000595,0.738773,0.000000,0.000595,0.709708,coverage_anchor
203,474.447998,0.001120,0.742084,0.000000,0.001120,0.713387,coverage_anchor
214,483.053629,0.000625,0.753704,0.000000,0.000625,0.726300,coverage_anchor
233,488.790758,0.000577,0.635040,0.000000,0.000577,0.594433,coverage_anchor
287,522.234492,0.000666,0.453272,0.000000,0.000666,0.392441,coverage_anchor
317,559.831323,0.000525,0.409646,0.000000,0.000525,0.343960,coverage_anchor
