id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
17,80.251952,0.002283,0.909719,0.000000,0.002283,1.000000,coverage_anchor
18,80.898039,0.002233,0.497511,0.000000,0.002233,0.483424,coverage_anchor
19,81.454585,0.001818,0.853500,0.000000,0.001818,0.929547,coverage_anchor
23,82.356031,0.001998,0.218179,0.000000,0.001998,0.133367,coverage_anchor
24,84.148746,0.002079,0.412714,0.000000,0.002079,0.377157,coverage_anchor
1,85.047849,0.002083,0.829027,0.000000,0.002083,0.898877,coverage_anchor
27,85.286747,0.002142,0.150700,0.000000,0.002142,0.048804,coverage_anchor
3,86.009107,0.001736,0.890306,0.000000,0.001736,0.975672,coverage_anchor
25,86.337317,0.001985,0.160329,0.000000,0.001985,0.060870,coverage_anchor
4,86.337317,0.001985,0.905627,0.000000,0.001985,0.994871,coverage_anchor
5,86.397630,0.001867,0.802577,0.000000,0.001867,0.865730,coverage_anchor
28,86.397630,0.001867,0.158928,0.000000,0.001867,0.059115,coverage_anchor
26,86.397630,0.001867,0.146308,0.000000,0.001867,0.043299,coverage_anchor
6,86.474547,0.002073,0.192887,0.000000,0.002073,0.101672,coverage_anchor
29,86.589612,0.001744,0.739556,0.000000,0.001744,0.786752,coverage_anchor
30,87.250744,0.001962,0.220605,0.000000,0.001962,0.136408,coverage_anchor
31,87.391182,0.001764,0.735535,0.000000,0.001764,0.781714,coverage_anchor
32,87.451587,0.001947,0.411128,0.000000,0.001947,0.375169,coverage_anchor
10,87.451587,0.001947,0.301983,0.000000,0.001947,0.238390,coverage_anchor
33,88.129321,0.001756,0.763794,0.000000,0.001756,0.817128,coverage_anchor
34,88.640010,0.001914,0.575314,0.000000,0.001914,0.580926,coverage_anchor
38,90.930407,0.001858,0.180948,0.000000,0.001858,0.086710,coverage_anchor
39,92.991503,0.001581,0.529251,0.000000,0.001581,0.523200,coverage_anchor
41,95.835594,0.001625,0.688916,0.000000,0.001625,0.723291,coverage_anchor
42,96.311544,0.001784,0.740050,0.000000,0.001784,0.787373,coverage_anchor
43,96.344986,0.001408,0.748466,0.000000,0.001408,0.797919,coverage_anchor
44,96.375727,0.002099,0.660644,0.000000,0.002099,0.687861,coverage_anchor
45,96.617344,0.001719,0.535491,0.000000,0.001719,0.531020,coverage_anchor
46,96.745059,0.001806,0.473009,0.000000,0.001806,0.452718,coverage_anchor
49,97.615235,0.001678,0.190742,0.000000,0.001678,0.098984,coverage_anchor
